userName,score,at,content
Sita Satria,3,2026-05-05 14:47:31,kenapa ya aplikasi ini apa eror kok saya ngentry ibl baduta capaian tetap aja gitu kdg naik satu pdhl udh banyak ngentry.. tolog lah aplikasi ini apakah eror kr kmi dikejar untk meningkatkan capaian..
Melisa Kurniawati,3,2026-05-05 02:32:02,"coba adakan aplikasi untuk pc min, biar enak klo entri lebih satset"
Joni Mustopa (Oni),5,2026-05-04 01:05:57,mantap
Linda Wahyuni,2,2026-05-03 04:02:40,"ini aplikasi semakin di update semakin buruk, setelah kita input kelamaan loading jadi tidak mood untuk mengisi, padahal jaringan kuat tapi kelamaan loading, tolong diperbaiki jangan pake lam loading langsung aja masuk setelah penginputan data"
Yan Mnubefor,3,2026-04-30 04:27:47,agak susah
nara's game,1,2026-04-23 11:54:27,"jelek banget, suka patah-patah. trus kalo bolak-balik apk buat isi data suka tiba-tiba keluar lagi jadi harus isi ulang tanggal sama tempat imunisasi (RIBET). udah gitu ga bisa di teken biar bisa di block biar hapusnya mudah, harus hapus pelan-pelan satu persatu. untuk nama ortu di bagian imunisasi juga tolong dibuat kapital setiap kata nama secara otomatis, jangan cuma nama anak aja. dan jangan saranin nama yang bukan berkaitan sama nama yang dimasukin. trs juga untk edit data tidak bisa keubah"
A. Lazuardi,1,2026-04-21 07:21:02,"Masalah dari dulu ga beres beres!!!!!!. Coba perbaiki kualitas, kecepatan, kerjasama sama dinas catatan sipil. Sudah ada NIK ga terbaca terus, sudah masukin sasaran tapi di cari tidak ada. Ayolah!!! Benerin aplikasinya!!!!supaya kami yang menginput data tidak mengalami kendala kendala yang membuat lambat penginputan. 🐒"
Rosma Nina,1,2026-04-21 01:07:35,sangat buruk lodingnya lama bangat mau update data 1 orang aja bisa 30 menit tolong dong diperbaiki ini nyita waktu bangat nunggu loding doang
Zulfa Nayla,1,2026-04-17 02:41:12,"Aplikasi ngga jelas, kemana larinya data-data yg sudah diinput, mau dientry lagi dicari namanya ngga ada. Jangan nambah"" nyusahin nakes lah, udah susah kita."
Ike Susyati,5,2026-04-15 01:32:10,good job
Stevy Bastian,1,2026-04-10 10:11:09,"ini nih akibat terlalu banyak aplikasi dari kemenkes. saat aplikasi tidak maksimal aka error, follow up nya lambat.. kalian suruh qt nakes input ini itu,, ee sistem kalian yang ga siap.."
ARNAN JAYA,5,2026-04-08 00:11:39,Semoga bermanfaat dan berkesinambungan
Meri Ana,3,2026-04-01 14:47:31,aplikasi sering eror begtu di buka tampil layar putih doang gak bisa di buka terpaksa di instal ulang.. tolong di optimalkan agar penginputan bisa lancar trimakasih..
Abi Ani,5,2026-03-30 01:26:43,"membantu pekerjaan saya, tapi aplikasi sering eror"
Kirana Yasmin Janeeta,3,2026-03-25 15:39:52,"Loading nya itu ga nahan. input 1 pasien pun bisa bbrp menit.internet lancar, aplikasi lambat"
Awet Wowor,5,2026-03-21 19:59:41,"All The Best Of The Best My Program,My Aplikasi,My team,My GLOBAL 🌐 Wajib Sehat Terus menjaga kesehatan Seluruh Negara INDONESIA Dan Seluruh Dunia,Wajib Masyarakat Memeriksa Kesehatan Seminggu Tiga kali 🌐🌐🌐🌐🌐🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨👑👑👑👑👑⭐⭐⭐⭐⭐😘🥰😍🤩🥳"
Adam Emha,4,2026-03-13 15:05:24,"admin sehat Indonesiaku mohon perbaiki lagi aplkasinya, sudah beberapa hari ini saya ingin masukkan data skrining Penyakit Tidak Menular (PTM) namun keterangan aplikasi masih terus ""sistem sedang bermasalah"" 🙏🏻"
Inna Bani,4,2026-03-12 03:40:02,oke
Selvy Suryandari,1,2026-03-10 10:55:37,menginput pelayanan skarang suka hilang2 datanya.... di input bulan lalu di Ari bulan ini ga ketemu....
Tati Hartati,5,2026-03-08 19:11:16,Terimakasih
Afita 123,3,2026-03-08 15:23:18,"tidak bisa di update, menghambat ke pengrjaan ASIK"
Dhani August,1,2026-03-05 04:03:34,"aplikasi BOSOK, suruh cepet nginput tapi lo gangguan terus"
Saudur Nainggolan,5,2026-03-04 02:35:32,baik
Resta Prihastika,5,2026-02-24 08:24:02,oke bagusss
gita pradnyandari,5,2026-02-20 03:44:45,kenapa tidak bisa update ?
Vida Vida,1,2026-02-12 13:35:18,tolong dperbaiki sistemnya ya.. jgn buat ruwet untuk hal yg mudah...
Intan Pratiwi,2,2026-01-27 02:50:22,"kenapa ini mau entry imunisasi layarnya hanya putih, padahal baru update"
Rani febriani,5,2026-01-21 02:07:16,mudah untuk di pelajari
Erina Winda,3,2026-01-17 00:47:31,Aplikasi tidak bisa di pakek dengan posisi layar landscape jadi susuah mau pakek tablet pun ga bisa pakek keyboardnya
Agustina Sianturi1708,1,2026-01-14 20:55:07,"maaf pak sebelumnya..aplikasi ini sungguh tidam mengaASIK kan..setiap mau input data tidak ditemukan sedangkan kalau dibuat tambah sasaran jadi ada 2 individu, otomatis capaian tidak tercapai karena yang sebelumnya dianggap riwayat imunisasi tidak lengkap..semua yang sudah pernah di input hilang lagi jadi harus ngulang lagi dari awal padahal riwayat imunisasinya sudah pernah di input sebelumnya..padahal ini jadi patokan capaian tapi aplikasi nya aja kaya gini🥲"
gemala dewi,2,2026-01-14 19:53:19,terlalu lama loading ya tolong diperbaiki biar kami rajin input data
Udin Ankam,3,2026-01-14 13:31:50,"seharus aplikasi berbentuk link jangan berbentuk apk,,, apabila apk selalu error dan lemot , hahahaha,,,,usul saja berbasis link saja"
Nurul Hidayati,3,2026-01-13 11:53:23,Aplikasi sering error. baru jua input 2 3 orang sudah error..
HAYATI KURNIASIH,1,2026-01-13 03:56:41,lola... bikin BT
Zulia Engga,5,2026-01-13 02:22:02,sangat membantu
puskesmas petir,1,2026-01-08 02:02:15,gimana cara menginstallx yah..
Bella Hamidah,5,2026-01-07 07:49:12,Tolong di permudah cara ubah profil
Muhammad Agung,5,2026-01-03 12:56:17,Terbaik aplikasinya
Okesyafrisalibra,5,2025-12-29 03:39:54,aplikasi yangsangat membantu
Yati Suharto,4,2025-12-26 02:36:26,"awal"" bagus tapi makin kesini mau input data bulan kemarin, berikutnya GK muncul hrus tingkat lagi aplikasinya"
aprilia wardhani,2,2025-12-21 05:00:39,"mimin tolong perbaiki lg. data anak selalu ilang muncul entah yg baru didaftarin atau yg lama tiba² gk muncul, setelah muncul kadang data anak malah diklaim desa lain atau puskesmas lain, baru bikin data anak baru dicari lg nama anak itu gk muncul² sampai bebrp minggu"
Fary Sutama,1,2025-12-18 23:41:25,aplikasi buruk
FR HP,4,2025-12-18 09:14:18,"admin minta tolong , tolong dipercepat yang entriannya bertuliskan menunggu antrian 1x24 jam.. saya sudah menunggu 3 hari tapi masih begitu aja jadi g bisa input pasiennya"
Tias Ridho Perdana,1,2025-12-16 03:31:50,"1. Aplikasinya sering eror 2. Tidak ada tampilan malam / redup, jadinya mata sering sakit dan pedih kalau menghadap layar putih 3. Setelah Update nambah kacau yang ada tampilan blank layar putih doang. 4. Suruh TIM IT pilihan Pak Purbaya aja untuk mengurus apk ini selain dari Coretax"
taufik fajar septiawan,1,2025-12-14 04:51:36,"mohon di tingkatkan lagi untuk kecepatan membuka, mencari data, serta mengisi data, agar aplikasi ini benar2 lancar dan bisa di gunakan di lapangan, bila lambat kaya gini membuat pelayanan kesehatan jadi lama karena antrian panjang akibat aplikasi yg lama mencari data, padahal internet di sini lancar tapi aplikasinya yg lambat, mohon di tingkatkan, agar aplikasinya sat set cepat"
Suryati,4,2025-12-14 03:16:49,Ga ada postinganya dah terhapus
dinata,2,2025-12-05 06:13:21,kok setelah data berhasil di simpan nama orang nya ga kebaca atau muncul ya min? di respon aj anj sampe skrng masih ga muncul nama data yg sudah di simpan
Eko Verde,2,2025-12-04 00:47:04,Min sehat Indonesiaku kenapa data entry ku tiba-tiba semuanya hilang? tolong kembalikan 🙏🏻
078_Ahmad Saputra,3,2025-12-03 14:26:08,"Sistemnya masih error ya min,, sudah input tapi kok nggak muncul"
Isti Fari,3,2025-12-02 12:18:09,"aplikasi sering eror, data yg Udah di entri tiba2 tidak terbaca"
Tony Chahyadi,1,2025-12-02 05:17:34,"sekelas aplikasi negara, kurang pinter, masa ga bisa landscape. . orang mau input pake tab harus tetep potrait... aneh buang buang anggaran negara doang"
Viyenti Rani,3,2025-12-02 02:56:06,"aplikasi gangguan terus , gimana mau input data kerjaan numpuk"
Qiora_25,1,2025-12-02 01:35:45,"halo min mau tanya ini apk ga ada kontak pengaduan apa? dari kemarin kita entri statusnya gangguan sistem terus, mohon direspon, masak aplikasi pemerintah ga ada yg bener"
Salma Lupi,1,2025-11-29 11:03:37,"kalo buat aplikasi yg bener apa jangan tampilan doang di perbarui tapi sistemnya juga dong!!!! contoh ya 1 ada bayi dari awal vaksin sampe mau usia satu tahun namanya udah di input di aplikasi giliran mau di isi riwayat vaksin ga muncul, mau di regis ulang nama udah tertera silahkan cek 1x24 jam, sudah di cek tetep ga muncul. menghambat pekerjaan banget sumpah, giliran laporan ke puskesmas harus getol sama komplit. benerin aplikasinya secepatnya"
Sandy Sangadji,1,2025-11-23 13:39:51,"Tolong lebih diperbarui lagi fitur pencariannya, dituntut kita untuk kerja cepat tapi apk nya kerja lelet... Nggak sebanding memang... Jangan cuma hanya pikir kepeng doang.... Data kebanyakan tidak sinkron dengan ASIK web"
mastarina sinuraya,3,2025-11-23 05:47:55,"saya bidan desa dan tiap bulan input data bayi balita yg diimunisasi di aplikasi ini. tapi setiap mau input, tidak semua bayi yg sudah didaftarkan langsung muncul saat dicari namanya untuk diinput data imunisasi rutin (misal bulan 8 saya sudah daftarkan bayi baru dengan nama Dewi, bulan 9 saat saya mau input imunisasi nya,saya cari nama Dewi, nama nya tidak muncul) hal ini sangat menyulitkan kami karena jadinya cakupan imunisasi kami tidak mencapai target dan ditegur. mohon di perbaiki"
Nita Adam,5,2025-11-18 15:03:44,Bagus sekali
Marety Irawati Hutajulu,1,2025-11-18 13:41:51,Sudah bolak-balik download di tablet Poco gak bisa terbuka padahal sengaja beli tablet biar bisa lebih besar layar saat mengentri
Nur'ain,2,2025-11-18 02:47:37,"Jeda waktu ke menu lain lama. Muter-muternya lama, keburu ngantuk nungguinnya. Mana data yang dientry banyak. Tolong dong diperbaiki lagi. Waktu kami banyak terbuang gara-gara itu. Tolong juga bikin aplikasi ASIK untuk PC. Ini untuk mempermudah dalam mengakses, setelah diupdate beberapa tipe hp tidak lagi mendukung aplikasi ini."
erna sukmawati,2,2025-11-11 07:17:55,kenapa tidak bisa di perbaharui aplikasi ini
Rhe,1,2025-11-10 14:45:25,tolonglah gangguan terus mau masuk
Nurulislam Mi,2,2025-11-08 05:48:36,"yang mengisi ini pihak sekolah apa petugas kesehatan, ini memberikan pekerjaan tambahan bagi sekolah"
Ari Tri,5,2025-11-05 21:09:50,"sehat Indonesiaku banyak info yg bisa di dapat , sekarang semakin mudah mengaksesnya . notifikasinya sangat berguna ."
Deselva Liklioy,5,2025-11-05 12:52:00,Aplikasi Mantap
Irma Agustina,1,2025-11-05 11:55:24,"sebaiknya pasien yang sudah pernah di input di tahun itu, tempat nya langsung berpindah, jangan lagi di campur dengan pasien yang belum pernah di input,, scroll ke bawah nya lamaaaa bgt, tidak ada tanda khusus jika pasien sudah pernah terinput, jika terinput ulang masuk ke kunjungan berulang,,, efek nya capaian tidak akan naik"
Bang Koko,1,2025-11-05 11:19:51,"harusnya aplikasi ini dpt mempermudah pekerjaan, lah ini mlah mkin mempersuit. loading lama, bug, bahkan sering kali nama yg dicari tidak muncul disistem, slu minta pembaharuan tp tdk meningkatkan sistem"
XI-01 EKA APRIANTI,4,2025-11-05 01:07:25,Cukup baik
Muhibbah,5,2025-11-02 08:13:32,baik
indah amalia,5,2025-11-02 00:59:20,makin ke sini makin baik
Sania Yara,1,2025-11-01 23:30:54,"gimana sih proses antrian lama sekali, sasaran dicari di data individu gak ada di tambah sasaran bilangnya dalam antrian 1×24 jam ini udah nunggu 7x24 jam lo ya tetep gak ada.. gak usah aplikasi aplikasian aja klo gini ya, bikin males nginput"
rumini rumini,4,2025-11-01 22:12:54,kenapa sekarang asik.di hp aku tidak bisa kebuka ya 😭😭😭
Rakhmayanto Abizulfa,1,2025-11-01 13:17:56,"membingungkan sekali. harusnya aplikasi semakin sering dipakai semakin mudah, data inputan hilang, panel data didashboard hilang...sangat membingungkan pengguna dilevel pling bawah"
Walekhe FCW,5,2025-10-29 05:52:52,terbaik
Mia S,1,2025-10-28 11:24:30,"mau masukin data posyandu bulan x malah data anak nggak ada, padahal beberapa bulan sebelumnya ada datanya. kalo saya bikin baru lagi nanti bertumpuk datanya"
Anhar,5,2025-10-28 09:04:17,entri Asik memang asik
intan oktarani,2,2025-10-28 04:31:26,aplikasi tidak dapat di buka
Hernasari Simamora,2,2025-10-27 01:38:35,ga bisa lanskap
cndy aurna01,2,2025-10-26 08:21:16,"mohon di perbaiki lagi aplikasinya, saya susah menginput dikarenakan ada bacaan: terjadi kesalahan individu ini sudah terdaftar, tetapi masih dalam antrian masuk database pencarian, silahkan coba dalam 1x24 jam untuk dapat melanjutkan pencatatan. mohon segera di perbaiki ya agar saya bisa secepatnya melanjutkan pencatatan data posyandu, terimakasih 🙏🏻"
Nuraini Bpn,1,2025-10-18 18:37:05,"tidak bisa di download di laptop,malah teinstal di hp"
Anita Suhartati,1,2025-10-16 07:46:17,"sering data hilang dan hrus input ulang, tapi kalo mau infut ulang pasti tidak bisa bnyak kendala"
Risti Sulistiani,2,2025-10-15 02:14:52,"Aplikasi yg sangat tidak asik, data yang sudah di entry kadang tidak muncul dipencarian"
Mahen Ngapain jir,4,2025-10-14 02:55:07,mimi cucu
Pemula Channel,2,2025-10-12 06:49:38,"Mohon dibuat versi web, biar mudah diakses lewat PC"
Yovita Silvia,5,2025-10-11 20:12:16,luar biasa'
kenao,1,2025-10-06 09:44:28,"tidak bisa tambah individu baru dari tadi pagi. gangguan sistem terus, bisa gak kalo mau pencatatan online aplikasi mumpuni dulu"
Rifzki Fadillah,1,2025-10-05 03:29:36,Aplikasi SAMPAH Sering error entah itu habis input data malah gak masuk dll.
fauziwar AMK,1,2025-09-30 02:11:27,"data sering hilang, lelet, sering tidak dapat memuat halaman, buat aplikasi yang meringankan jangan menyusahkan"
Warsih Pecarikan,5,2025-09-29 01:59:05,bagus
Sri Juliati,1,2025-09-28 12:42:13,Ketika menambah sasaran baru katanya data sudah tersimpan tetapi ketika dicari berdasarkan nama dan tgl lahir tdk ada lalu tambah lgi sasaran baru simpan data tdk bisa karena katanya sudah terdaftar disasaran lalu dicari lagi berdasarkan nama dan tgl lhir tetap tidak ada. Sudah update aplikasi tapi cari sasaran di aplikasi asik tdi ada sedangkan sudah dosis ke 2 tetapi di dasboard nama ada ketika di cari di aplikasi nama anak tidak ditemukan.
candra wirya,1,2025-09-28 00:57:24,saya ingin dapet kartu kis
dwayu kusuma,5,2025-09-27 08:24:08,bagus
Rahmad Suryawan,5,2025-09-25 22:45:22,good
Bambang Widodo,5,2025-09-25 15:21:57,bagus
Hariadin Hary,1,2025-09-25 03:49:12,"admin, ini apk tolong ya diperbaiki. masa saya ketik nama sekolah sampe lengkap huruf kecil ganti kapital tapi hasil tidak ditemukan. buat aplikasi tolong jngan hanya asal buat, prhatikan & perbaiki lagi dong yang errornya. cari pertama dpt, input kedua cari nama sekolah yang sama mlah tdk dapat, ini apk yg dipakai pemerintah untk kita input data loh, masa modelannya begini, bikin sakit hati pake apk ini waktu input data CKG, jangn buat apk dimana aplikasi itu persulit kita lah, tlong diprbaiki."
Miiayamkuah,1,2025-09-24 03:46:43,"loading parah, capek banget kalo input. buang waktu. ga ada perbaikan"
Bunda Widi,3,2025-09-23 13:25:24,capekkk kali oiii leletnya luar biasa ..UD di update pun samaaaa lodingnyaaa yaa
Puji Lestari,2,2025-09-23 08:53:11,aplikasi ga bisa buat cepet buat ngisi data aja lodingnya lama bgt.. habis2in waktu.. di upgrade napa ke yg lebih cepet..
Wachidatul Aminah,1,2025-09-19 03:32:24,tidak bisa saya buka
Diana Ptsb,1,2025-09-18 09:28:23,"seharusnya dgn ada nya aplikasi mempermudah ngontrol org yg ikut posyandu tiap bulannya. tp masalahnya, input data tiap bulan nya tuh suka error. contoh nyata nih, nama si fulan belum di masukin di bulan 4 eh tiba2 pas mau masukin malah gk bisa. kan aneh"
Rita Indah Sulistiyo,1,2025-09-17 16:42:03,"aplikasi gak jelas,gampang error data tidak sesuai"
